TIC-80/	tic80_libretro		
LowresNX/	lowresnx_libretro		
/wasm4/	wasm4_libretro		
PICO-8/	pico8 -run		
Voxatron/	vox		
/arduboy/NoIntro/	arduous_libretro		https://archive.org/download/ni-roms/roms/Arduboy%20Inc%20-%20Arduboy.zip/
/arduboy/TOSEC/	arduous_libretro		https://archive.org/download/tosec-main/Arduboy/Arduboy/Games/%5BARDUBOY%5D/Arduboy%20Arduboy%20-%20Games%20-%20%5BARDUBOY%5D%20%28TOSEC-v2024-01-15%29.zip/
/arduboy/Demo/	arduous_libretro		https://archive.org/download/tosec-main/Arduboy/Arduboy/Demos/Arduboy%20Arduboy%20-%20Demos%20%28TOSEC-v2024-01-15%29.zip/
/uzebox/MAME/	mame_libretro uzebox -cart		https://archive.org/download/mame-sl/mame-sl/uzebox.zip/uzebox/
/commanderx16/Games/	x16emu	img	https://archive.org/download/tosec-main/8-Bit%20Productions/Commander%20X16/Games/%5BIMG%5D/8-Bit%20Productions%20Commander%20X16%20-%20Games%20-%20%5BIMG%5D%20%28TOSEC-v2024-01-15%29.zip/
/commanderx16/Demo/	x16emu	img	https://archive.org/download/tosec-main/8-Bit%20Productions/Commander%20X16/Demos/8-Bit%20Productions%20Commander%20X16%20-%20Demos%20%28TOSEC-v2023-08-29%29.zip/
/vircon32/Vircon32/	vircon32_libretro		https://archive.org/download/all_vircon32_roms_and_media/all_vircon32_roms_and_media/
/chip8/MAME/	mame_libretro d6800 -quik		https://archive.org/download/mame-sl/mame-sl/chip8_quik.zip/chip8_quik/
/atari2600/ROMS/	stella_libretro		https://archive.org/download/atari-2600-vcs-roms/ROMS/
/atari2600/NoIntro/	stella_libretro		https://archive.org/download/ni-roms/roms/Atari%20-%202600.zip/
/atari2600/TOSEC/	stella_libretro		https://archive.org/download/tosec-main/Atari/2600%20%26%20VCS/Games/Atari%202600%20%26%20VCS%20-%20Games%20%28TOSEC-v2025-01-15%29.zip/
/atari2600/Homebrew/	stella_libretro		https://archive.org/download/tosec-main/Atari/2600%20%26%20VCS/Homebrew/Games/AtariAge%20Design%20Contest/Atari%202600%20%26%20VCS%20-%20Homebrew%20-%20Games%20-%20AtariAge%20Design%20Contest%20%28TOSEC-v2024-07-03%29.zip/
/atari2600/Applications/	stella_libretro		https://archive.org/download/tosec-main/Atari/2600%20%26%20VCS/Applications/Atari%202600%20%26%20VCS%20-%20Applications%20%28TOSEC-v2024-07-03%29.zip/
/atari2600/Educational/	stella_libretro		https://archive.org/download/tosec-main/Atari/2600%20%26%20VCS/Educational/Atari%202600%20%26%20VCS%20-%20Educational%20%28TOSEC-v2025-01-15%29.zip/
/atari2600/Demo [A26]/	stella_libretro		https://archive.org/download/tosec-main/Atari/2600%20%26%20VCS/Demos/%5BA26%5D/Atari%202600%20%26%20VCS%20-%20Demos%20-%20%5BA26%5D%20%28TOSEC-v2024-01-15%29.zip/
/atari2600/Demo [BIN]/	stella_libretro		https://archive.org/download/tosec-main/Atari/2600%20%26%20VCS/Demos/%5BBIN%5D/Atari%202600%20%26%20VCS%20-%20Demos%20-%20%5BBIN%5D%20%28TOSEC-v2025-01-15%29.zip/
/atari2600/Demo [MP3]/	stella_libretro		https://archive.org/download/tosec-main/Atari/2600%20%26%20VCS/Demos/%5BMP3%5D/Atari%202600%20%26%20VCS%20-%20Demos%20-%20%5BMP3%5D%20%28TOSEC-v2024-01-15%29.zip/
/atari2600/MAME/	mame_libretro a2600 -cart		https://archive.org/download/mame-sl/mame-sl/a2600.zip/a2600/
/atari2600/Cass MAME/	mame_libretro a2600 scharger -cass		https://archive.org/download/mame-sl/mame-sl/a2600_cass.zip/a2600_cass/
/atari5200/NoIntro/	a5200_libretro		https://archive.org/download/ni-roms/roms/Atari%20-%205200.zip/
/atari5200/TOSEC/	a5200_libretro		https://archive.org/download/tosec-main/Atari/5200/Games/Atari%205200%20-%20Games%20%28TOSEC-v2025-01-15%29.zip/
/atari5200/Homebrew/	a5200_libretro		https://archive.org/download/tosec-main/Atari/5200/Homebrew/Games/Atari%205200%20-%20Homebrew%20-%20Games%20%28TOSEC-v2025-01-15%29.zip/
/atari5200/App/	a5200_libretro		https://archive.org/download/tosec-main/Atari/5200/Applications/Atari%205200%20-%20Applications%20%28TOSEC-v2022-12-21%29.zip/
/atari5200/Demo/	a5200_libretro		https://archive.org/download/tosec-main/Atari/5200/Demos/Atari%205200%20-%20Demos%20%28TOSEC-v2021-07-25%29.zip/
/atari5200/MAME/	mame_libretro a5200 -cart		https://archive.org/download/mame-sl/mame-sl/a5200.zip/a5200/
/atari7800/NoIntro/	prosystem_libretro		https://archive.org/download/ni-roms/roms/Atari%20-%207800%20%28BIN%29.zip/
/atari7800/TOSEC/	prosystem_libretro		https://archive.org/download/tosec-main/Atari/7800/Games/Atari%207800%20-%20Games%20%28TOSEC-v2025-01-15%29.zip/
/atari7800/Homebrew/	prosystem_libretro		https://archive.org/download/tosec-main/Atari/7800/Homebrew/Games/Atari%207800%20-%20Homebrew%20-%20Games%20%28TOSEC-v2025-01-15%29.zip/
/atari7800/App/	prosystem_libretro		https://archive.org/download/tosec-main/Atari/7800/Applications/Atari%207800%20-%20Applications%20%28TOSEC-v2024-07-03%29.zip/
/atari7800/MAME/	mame_libretro a7800 -cart		https://archive.org/download/mame-sl/mame-sl/a7800.zip/a7800/
/jaguar/NoIntro/	virtualjaguar_libretro		https://archive.org/download/ni-roms/roms/Atari%20-%20Jaguar%20%28J64%29.zip/
/jaguar/Games J64/	virtualjaguar_libretro		https://archive.org/download/tosec-main/Atari/Jaguar/Games/%5BJ64%5D/Atari%20Jaguar%20-%20Games%20-%20%5BJ64%5D%20%28TOSEC-v2024-01-15%29.zip/
/jaguar/Games ROM/	virtualjaguar_libretro		https://archive.org/download/tosec-main/Atari/Jaguar/Games/%5BROM%5D/Atari%20Jaguar%20-%20Games%20-%20%5BROM%5D%20%28TOSEC-v2024-01-15%29.zip/
/jaguar/Demo [BIN]/	virtualjaguar_libretro		https://archive.org/download/tosec-main/Atari/Jaguar/Demos/%5BBIN%5D/Atari%20Jaguar%20-%20Demos%20-%20%5BBIN%5D%20%28TOSEC-v2024-07-03%29.zip/
/jaguar/Demo [COF]/	virtualjaguar_libretro		https://archive.org/download/tosec-main/Atari/Jaguar/Demos/%5BCOF%5D/Atari%20Jaguar%20-%20Demos%20-%20%5BCOF%5D%20%28TOSEC-v2018-07-01%29.zip/
/jaguar/Demo [J64]/	virtualjaguar_libretro		https://archive.org/download/tosec-main/Atari/Jaguar/Demos/%5BJ64%5D/Atari%20Jaguar%20-%20Demos%20-%20%5BJ64%5D%20%28TOSEC-v2025-01-15%29.zip/
/jaguar/Demo [JAG]/	virtualjaguar_libretro		https://archive.org/download/tosec-main/Atari/Jaguar/Demos/%5BJAG%5D/Atari%20Jaguar%20-%20Demos%20-%20%5BJAG%5D%20%28TOSEC-v2024-01-15%29.zip/
/jaguar/Demo [ROM]/	virtualjaguar_libretro		https://archive.org/download/tosec-main/Atari/Jaguar/Demos/%5BROM%5D/Atari%20Jaguar%20-%20Demos%20-%20%5BROM%5D%20%28TOSEC-v2024-07-03%29.zip/
/jaguar/MAME/	mame_libretro jaguar -cart		https://archive.org/download/mame-sl/mame-sl/jaguar.zip/jaguar/
/jaguarcd/Redump/	bigpemu	cue	https://archive.org/download/atari-jaguarcd-redump/
/jaguarcd/NonRedump/	bigpemu	cdi	https://archive.org/download/non-redump_atari-jaguar-cd/
/lynx/NoIntro/	mednafen_lynx_libretro		https://archive.org/download/ni-roms/roms/Atari%20-%20Lynx%20%28LYX%29.zip/
/lynx/TOSEC/	mednafen_lynx_libretro		https://archive.org/download/tosec-main/Atari/Lynx/Compilations/Games/%5BLNX%5D/Atari%20Lynx%20-%20Compilations%20-%20Games%20-%20%5BLNX%5D%20%28TOSEC-v2022-06-08%29.zip/
/lynx/Demo [LNX]/	mednafen_lynx_libretro		https://archive.org/download/tosec-main/Atari/Lynx/Demos/%5BLNX%5D/Atari%20Lynx%20-%20Demos%20-%20%5BLNX%5D%20%28TOSEC-v2025-01-15%29.zip/
